features,n_features,train_mae,test_mae,train_rmse,test_rmse
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'day')",4,0.4200939383673908,0.4185963151779235,1.1223524039766695,1.1181806909538599
"('rolling_24_std', 'rolling_24_mean', 'lag_1')",3,0.4200940588237092,0.4185964381934402,1.1223526919533469,1.1181791650454695
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'month', 'day')",5,0.42009945542239074,0.4186038443968022,1.1223519820396397,1.118178544215528
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'month')",4,0.42009957332903763,0.41860393300451904,1.1223522832267943,1.1181770182015385
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'day', 'quarter')",5,0.42010496290631727,0.41861074972573187,1.1223510628197841,1.1181767131949683
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'quarter')",4,0.4201050865406492,0.41861084871507503,1.122351374072322,1.1181751618106193
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'month', 'quarter')",5,0.4201087560878878,0.4186129090855174,1.122347418181747,1.1181749338587532
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'month', 'day', 'quarter')",6,0.4201090237855306,0.41861305667933757,1.122347115929686,1.1181764668349792
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'day', 'year')",5,0.42015761902660287,0.41865892486652606,1.1223459486687057,1.118177086703199
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek')",4,0.42014579369558186,0.4186594580071946,1.1223267482547215,1.1181526540954847
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'day')",5,0.42014603352214985,0.41865947851154245,1.1223264899733139,1.118154098642199
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'year')",4,0.42015816114100424,0.4186595606005373,1.1223461574485416,1.1181757634532874
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'month', 'day')",6,0.4201517665730866,0.41866692781810805,1.1223260595500117,1.118151917675668
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'month')",5,0.42015156113378266,0.4186669693967964,1.1223263304781574,1.1181504710835062
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'month', 'day', 'year')",6,0.420167534563318,0.41867143995923595,1.1223451559945448,1.1181740162191565
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'month', 'year')",5,0.4201679853536804,0.41867202414571986,1.1223453779654011,1.1181726778664989
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'day', 'quarter')",6,0.42015758567477246,0.4186738752346359,1.1223251032091148,1.1181500102113047
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'quarter')",5,0.4201574230635434,0.4186739737994241,1.1223253839175336,1.1181485377988947
