features,n_features,train_mae,test_mae,train_rmse,test_rmse
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'day')",4,0.09595072451846466,0.0956663978468433,0.26372906334562785,0.26299901377118995
"('rolling_24_std', 'rolling_24_mean', 'lag_1')",3,0.0959508749766414,0.09566662653269146,0.2637291334210982,0.262998655916114
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'month', 'day')",5,0.09595232722786402,0.09566826507994164,0.26372894796405694,0.2629984482943522
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'month')",4,0.09595248356445955,0.09566851222367984,0.2637290214622331,0.2629980904134028
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'day', 'quarter')",5,0.09595378668163974,0.09566995818847195,0.2637287224596321,0.2629979737644572
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'quarter')",4,0.09595394707811584,0.09567024811606589,0.2637287983471618,0.26299761035634517
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'month', 'day', 'quarter')",6,0.09595478951285649,0.09567129870854511,0.2637278188589652,0.2629977170056379
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'month', 'quarter')",5,0.09595487340784642,0.09567155171106165,0.26372789262134666,0.26299735749999087
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'day', 'year')",5,0.09596675392554586,0.09568242525230002,0.26372778910660466,0.26299836671762544
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'year')",4,0.09596700213171287,0.0956827812560245,0.2637278416942509,0.26299805178391916
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'day')",5,0.09596645452607201,0.09568409693435465,0.26372319314924564,0.2629927681439191
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek')",4,0.0959664701431803,0.09568426789803185,0.2637232562636325,0.26299242853297766
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'month', 'day', 'year')",6,0.09596932313838143,0.0956852447641216,0.26372758968424137,0.26299759684394064
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'month', 'year')",5,0.09596957174734805,0.095685635155124,0.2637276456074466,0.2629972786420236
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'month', 'day')",6,0.09596794192309015,0.09568572629141496,0.2637230757166001,0.26299219448323463
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'month')",5,0.09596795863631742,0.09568587067786744,0.2637231421106669,0.2629918543845079
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'day', 'year', 'quarter')",6,0.09597079665923008,0.0956869340039647,0.2637273355650676,0.2629971344051335
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'day', 'quarter')",6,0.09596935568767032,0.09568728718963064,0.2637228414033077,0.2629917010860781
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'year', 'quarter')",5,0.09597104803405089,0.09568735280192896,0.2637273932360494,0.26299681153283017
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'month', 'day', 'year', 'quarter')",7,0.09597071374978167,0.09568737914879175,0.2637265860404964,0.2629969451325718
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'dayofweek', 'quarter')",5,0.09596938123485714,0.09568743911584458,0.26372291012355864,0.26299135534518964
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'month', 'year', 'quarter')",6,0.09597090984250951,0.09568773026459598,0.2637266429347429,0.26299662365853965
